xor-filter with 1 elements, error rate 0.05, max_elements 1.1: 1040
xor-filter with 1 elements, error rate 0.05, max_elements 1.2: 1040
xor-filter with 1 elements, error rate 0.05, max_elements 1.3: 1040
xor-filter with 1 elements, error rate 0.05, max_elements 1.5: 1040
xor-filter with 1 elements, error rate 0.02, max_elements 1.1: 1040
xor-filter with 1 elements, error rate 0.02, max_elements 1.2: 1040
xor-filter with 1 elements, error rate 0.02, max_elements 1.3: 1040
xor-filter with 1 elements, error rate 0.02, max_elements 1.5: 1040
xor-filter with 1 elements, error rate 0.01, max_elements 1.1: 1040
xor-filter with 1 elements, error rate 0.01, max_elements 1.2: 1040
xor-filter with 1 elements, error rate 0.01, max_elements 1.3: 1040
xor-filter with 1 elements, error rate 0.01, max_elements 1.5: 1040
xor-filter with 1 elements, error rate 0.005, max_elements 1.1: 1040
xor-filter with 1 elements, error rate 0.005, max_elements 1.2: 1040
xor-filter with 1 elements, error rate 0.005, max_elements 1.3: 1040
xor-filter with 1 elements, error rate 0.005, max_elements 1.5: 1040
xor-filter with 1 elements, error rate 0.05, max_elements 2: 1048
xor-filter with 1 elements, error rate 0.02, max_elements 2: 1048
xor-filter with 1 elements, error rate 0.01, max_elements 2: 1048
xor-filter with 1 elements, error rate 0.005, max_elements 2: 1048
xor-filter with 10 elements, error rate 0.05, max_elements 11.0: 1080
xor-filter with 10 elements, error rate 0.05, max_elements 12.0: 1080
xor-filter with 10 elements, error rate 0.05, max_elements 13.0: 1080
xor-filter with 10 elements, error rate 0.05, max_elements 15.0: 1080
xor-filter with 10 elements, error rate 0.02, max_elements 11.0: 1080
xor-filter with 10 elements, error rate 0.02, max_elements 12.0: 1080
xor-filter with 10 elements, error rate 0.02, max_elements 13.0: 1080
xor-filter with 10 elements, error rate 0.02, max_elements 15.0: 1080
xor-filter with 10 elements, error rate 0.01, max_elements 11.0: 1080
xor-filter with 10 elements, error rate 0.01, max_elements 12.0: 1080
xor-filter with 10 elements, error rate 0.01, max_elements 13.0: 1080
xor-filter with 10 elements, error rate 0.01, max_elements 15.0: 1080
xor-filter with 10 elements, error rate 0.005, max_elements 11.0: 1080
xor-filter with 10 elements, error rate 0.005, max_elements 12.0: 1080
xor-filter with 10 elements, error rate 0.005, max_elements 13.0: 1080
xor-filter with 10 elements, error rate 0.005, max_elements 15.0: 1080
xor-filter with 10 elements, error rate 0.05, max_elements 20: 1088
xor-filter with 10 elements, error rate 0.02, max_elements 20: 1088
xor-filter with 10 elements, error rate 0.01, max_elements 20: 1088
xor-filter with 10 elements, error rate 0.005, max_elements 20: 1088
xor-filter with 100 elements, error rate 0.05, max_elements 110.00000000000001: 1528
xor-filter with 100 elements, error rate 0.05, max_elements 120.0: 1528
xor-filter with 100 elements, error rate 0.05, max_elements 130.0: 1528
xor-filter with 100 elements, error rate 0.05, max_elements 150.0: 1528
xor-filter with 100 elements, error rate 0.02, max_elements 110.00000000000001: 1528
xor-filter with 100 elements, error rate 0.02, max_elements 120.0: 1528
xor-filter with 100 elements, error rate 0.02, max_elements 130.0: 1528
xor-filter with 100 elements, error rate 0.02, max_elements 150.0: 1528
xor-filter with 100 elements, error rate 0.01, max_elements 110.00000000000001: 1528
xor-filter with 100 elements, error rate 0.01, max_elements 120.0: 1528
xor-filter with 100 elements, error rate 0.01, max_elements 130.0: 1528
xor-filter with 100 elements, error rate 0.01, max_elements 150.0: 1528
xor-filter with 100 elements, error rate 0.005, max_elements 110.00000000000001: 1528
xor-filter with 100 elements, error rate 0.005, max_elements 120.0: 1528
xor-filter with 100 elements, error rate 0.005, max_elements 130.0: 1528
xor-filter with 100 elements, error rate 0.005, max_elements 150.0: 1528
xor-filter with 100 elements, error rate 0.05, max_elements 200: 1536
xor-filter with 100 elements, error rate 0.02, max_elements 200: 1536
xor-filter with 100 elements, error rate 0.01, max_elements 200: 1536
xor-filter with 100 elements, error rate 0.005, max_elements 200: 1536
xor-filter with 1000 elements, error rate 0.05, max_elements 1100.0: 5952
xor-filter with 1000 elements, error rate 0.05, max_elements 1200.0: 5952
xor-filter with 1000 elements, error rate 0.05, max_elements 1300.0: 5952
xor-filter with 1000 elements, error rate 0.05, max_elements 1500.0: 5952
xor-filter with 1000 elements, error rate 0.02, max_elements 1100.0: 5952
xor-filter with 1000 elements, error rate 0.02, max_elements 1200.0: 5952
xor-filter with 1000 elements, error rate 0.02, max_elements 1300.0: 5952
xor-filter with 1000 elements, error rate 0.02, max_elements 1500.0: 5952
xor-filter with 1000 elements, error rate 0.01, max_elements 1100.0: 5952
xor-filter with 1000 elements, error rate 0.01, max_elements 1200.0: 5952
xor-filter with 1000 elements, error rate 0.01, max_elements 1300.0: 5952
xor-filter with 1000 elements, error rate 0.01, max_elements 1500.0: 5952
xor-filter with 1000 elements, error rate 0.005, max_elements 1100.0: 5952
xor-filter with 1000 elements, error rate 0.005, max_elements 1200.0: 5952
xor-filter with 1000 elements, error rate 0.005, max_elements 1300.0: 5952
xor-filter with 1000 elements, error rate 0.005, max_elements 1500.0: 5952
xor-filter with 1000 elements, error rate 0.05, max_elements 2000: 5960
xor-filter with 1000 elements, error rate 0.02, max_elements 2000: 5960
xor-filter with 1000 elements, error rate 0.01, max_elements 2000: 5960
xor-filter with 1000 elements, error rate 0.005, max_elements 2000: 5960
xor-filter with 10000 elements, error rate 0.05, max_elements 11000.0: 50232
xor-filter with 10000 elements, error rate 0.05, max_elements 12000.0: 50232
xor-filter with 10000 elements, error rate 0.05, max_elements 13000.0: 50232
xor-filter with 10000 elements, error rate 0.05, max_elements 15000.0: 50232
xor-filter with 10000 elements, error rate 0.02, max_elements 11000.0: 50232
xor-filter with 10000 elements, error rate 0.02, max_elements 12000.0: 50232
xor-filter with 10000 elements, error rate 0.02, max_elements 13000.0: 50232
xor-filter with 10000 elements, error rate 0.02, max_elements 15000.0: 50232
xor-filter with 10000 elements, error rate 0.01, max_elements 11000.0: 50232
xor-filter with 10000 elements, error rate 0.01, max_elements 12000.0: 50232
xor-filter with 10000 elements, error rate 0.01, max_elements 13000.0: 50232
xor-filter with 10000 elements, error rate 0.01, max_elements 15000.0: 50232
xor-filter with 10000 elements, error rate 0.005, max_elements 11000.0: 50232
xor-filter with 10000 elements, error rate 0.005, max_elements 12000.0: 50232
xor-filter with 10000 elements, error rate 0.005, max_elements 13000.0: 50232
xor-filter with 10000 elements, error rate 0.005, max_elements 15000.0: 50232
xor-filter with 10000 elements, error rate 0.05, max_elements 20000: 50240
